,timestamp_start,timestamp_end,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z,stabilizer.pitch,stabilizer.roll,stabilizer.yaw
0,307658,307660,-0.05385441333055496,-0.17404237389564514,0.8093916177749634,-16.476713180541992,36.54924011230469,23.247438430786133,0.5039747953414917,2.624868631362915,4.847757339477539,-1.1501113176345825,-1.5030850172042847,-1.9667807817459106
1,307668,307670,0.0023835611063987017,-0.10679894685745239,0.9385279417037964,-45.00989532470703,12.145234107971191,23.953201293945312,0.5189740657806396,2.654867172241211,4.8897552490234375,-1.0785831212997437,-1.7995383739471436,-1.6425704956054688
2,307678,307680,0.022591372951865196,-0.07523493468761444,0.9422934055328369,-63.54330062866211,-23.450664520263672,20.43853187561035,0.5234737992286682,2.6623668670654297,4.897254943847656,-0.9994311928749084,-2.3158860206604004,-1.3893606662750244
3,307688,307690,0.06309991329908371,-0.006628414150327444,0.9626982808113098,-50.80961608886719,-44.7673454284668,16.838001251220703,0.5324733853340149,2.656367063522339,4.91525411605835,-0.5975138545036316,-3.1274795532226562,-1.161360740661621
4,307698,307700,0.1651284545660019,0.04509943723678589,1.0202903747558594,-24.98057746887207,-45.629547119140625,19.190834045410156,0.5459727048873901,2.6638667583465576,4.910754203796387,-0.29261061549186707,-3.2547388076782227,-0.9697432518005371
5,307708,307710,-0.05415487289428711,-0.10791178792715073,1.0043952465057373,-2.2215871810913086,-36.3083610534668,21.76761817932129,0.5429728627204895,2.651867389678955,4.898755073547363,0.055107805877923965,-3.5917842388153076,-0.765700101852417
6,307718,307720,-0.13483484089374542,-0.2255837768316269,1.0139132738113403,20.273847579956055,-25.05967140197754,22.6872615814209,0.5279735922813416,2.6398680210113525,4.901754856109619,0.41054868698120117,-3.3476924896240234,-0.5134130716323853
7,307728,307730,-0.02781703695654869,-0.0909368172287941,1.076115608215332,34.50923538208008,-13.0338773727417,20.356218338012695,0.5174741148948669,2.659367084503174,4.882256031036377,0.6431156992912292,-3.0300168991088867,-0.27939167618751526
8,307738,307740,-0.005414219573140144,-0.09649230539798737,1.0280513763427734,29.637590408325195,-0.5226030349731445,17.699970245361328,0.5279735922813416,2.648867607116699,4.892755508422852,0.6129356622695923,-2.621143102645874,-0.07699678838253021
9,307748,307750,-0.05260738357901573,-0.11329679936170578,1.0139336585998535,11.846860885620117,11.358624458312988,12.322185516357422,0.509974479675293,2.6338682174682617,4.856757164001465,0.5918054580688477,-2.450061798095703,0.08176672458648682
10,307758,307760,-0.009097712114453316,-0.13251249492168427,0.9684911370277405,-11.875958442687988,22.320724487304688,9.733356475830078,0.5114744305610657,2.626368522644043,4.861257076263428,0.31846335530281067,-2.546018600463867,0.1970808058977127
11,307768,307770,0.0027559322770684958,-0.0849280059337616,1.0132511854171753,-27.67522621154785,34.09440231323242,6.292342185974121,0.5129743218421936,2.624868631362915,4.850757598876953,-0.035609446465969086,-2.6122374534606934,0.280206561088562
12,307778,307780,0.030050626024603844,-0.10315278172492981,1.0401904582977295,-33.73769760131836,42.79669952392578,6.000765800476074,0.509974479675293,2.6458675861358643,4.859756946563721,-0.43379688262939453,-3.060298204421997,0.3247356712818146
13,307788,307790,0.0002685048384591937,-0.14409705996513367,1.0195399522781372,-39.994964599609375,35.63818359375,6.701589107513428,0.5069746375083923,2.6368680000305176,4.853757381439209,-0.9124787449836731,-3.3210642337799072,0.3664511442184448
14,307798,307800,0.09383036941289902,-0.08942558616399765,0.9139139652252197,-59.003170013427734,6.859557628631592,8.26764965057373,0.5159741640090942,2.6428678035736084,4.856757164001465,-1.2385531663894653,-3.8585777282714844,0.41565975546836853
15,307808,307810,-0.02126402221620083,-0.12233389914035797,0.9020593762397766,-75.24343872070312,-19.264360427856445,9.686470031738281,0.5309734344482422,2.654867172241211,4.877756118774414,-1.1650187969207764,-4.666491508483887,0.4907929301261902
16,307818,307820,-0.010428127832710743,-0.08682572096586227,0.913764238357544,-65.05809020996094,-42.26994705200195,5.728669166564941,0.5249737501144409,2.657866954803467,4.877756118774414,-0.7664905786514282,-5.16506814956665,0.5968509912490845
17,307828,307830,-0.01666295900940895,-0.09738615900278091,0.9398525357246399,-33.60018539428711,-53.16596603393555,1.5645934343338013,0.5159741640090942,2.651867389678955,4.865756511688232,-0.12829186022281647,-5.753818035125732,0.6638665199279785
18,307838,307840,-0.02885582111775875,-0.1269201785326004,0.9046992659568787,6.77358341217041,-52.08545684814453,2.6183292865753174,0.5309734344482422,2.6458675861358643,4.8387579917907715,0.23161740601062775,-5.840397834777832,0.7782086133956909
19,307848,307850,-0.0504738874733448,-0.13021615147590637,0.8963010907173157,45.065616607666016,-50.73699951171875,4.262467861175537,0.5279735922813416,2.621868848800659,4.868756294250488,0.9336897134780884,-5.5737104415893555,0.8306530117988586
20,307858,307860,-0.054247044026851654,-0.07471425831317902,0.9309464693069458,70.65457916259766,-36.697757720947266,7.126716136932373,0.5204739570617676,2.6383681297302246,4.8672566413879395,1.3297674655914307,-4.892999172210693,0.9548971056938171
21,307868,307870,-0.006905131507664919,-0.016149001196026802,0.930493950843811,80.22256469726562,-13.403133392333984,9.860391616821289,0.5279735922813416,2.6668665409088135,4.895755290985107,1.4465335607528687,-4.237243175506592,1.1169894933700562
22,307878,307880,-0.02121586538851261,0.01603802479803562,0.9783185720443726,73.31277465820312,13.896109580993652,8.647323608398438,0.5339732766151428,2.654867172241211,4.8897552490234375,1.55316162109375,-3.1828951835632324,1.2155979871749878
