,timestamp_start,timestamp_end,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z,stabilizer.pitch,stabilizer.roll,stabilizer.yaw
3188,3004292,3004294,0.003291573142632842,0.028352998197078705,0.9686474204063416,2.481980085372925,8.057024002075195,-0.08770889788866043,0.6704664826393127,0.8324583768844604,-0.13049347698688507,-0.07002725452184677,0.22992579638957977,0.632673442363739
3189,3004302,3004304,-0.024656586349010468,0.015249757096171379,0.9946248531341553,3.088806390762329,8.58454704284668,-0.1658921241760254,0.6524673700332642,0.8324583768844604,-0.13049347698688507,-0.21666236221790314,0.2763367295265198,0.6272528767585754
3190,3004312,3004314,-0.06499307602643967,0.009604930877685547,0.9975501894950867,3.5426700115203857,7.776618957519531,0.09799185395240784,0.6674666404724121,0.8414579033851624,-0.13649317622184753,-0.364968866109848,0.3317617177963257,0.6212367415428162
3191,3004322,3004324,0.003767005167901516,0.01901509054005146,0.9765234589576721,2.1409409046173096,4.855816841125488,0.5474298000335693,0.6599670052528381,0.8249587416648865,-0.11999399960041046,-0.4840565025806427,0.38024529814720154,0.6206569671630859
3192,3004332,3004334,-0.005900856107473373,0.00655363779515028,0.97864830493927,0.7385993599891663,0.23100736737251282,0.2959536612033844,0.6674666404724121,0.8324583768844604,-0.12449377030134201,-0.5438714623451233,0.40398216247558594,0.6235346794128418
3193,3004342,3004344,-0.025914093479514122,-0.0001671070058364421,0.9611005783081055,-2.655118465423584,-3.846925973892212,0.5396119356155396,0.6614668965339661,0.8414579033851624,-0.12749361991882324,-0.4547574520111084,0.4653381407260895,0.6440653800964355
3194,3004352,3004354,0.022195184603333473,0.05565469339489937,1.0236387252807617,-4.455426216125488,-7.7856669425964355,0.6425132751464844,0.6614668965339661,0.8414579033851624,-0.12749361991882324,-0.36709335446357727,0.402718722820282,0.6465276479721069
3195,3004362,3004364,-0.017752457410097122,-0.012169280089437962,0.9778451919555664,-5.831018447875977,-9.318049430847168,0.6579118967056274,0.6614668965339661,0.8414579033851624,-0.12749361991882324,-0.22282575070858002,0.3116762340068817,0.6506035327911377
3196,3004372,3004374,-0.01914176344871521,0.020950589329004288,0.9896173477172852,-6.182763576507568,-9.374958038330078,0.6685300469398499,0.6644667387008667,0.8324583768844604,-0.11849407106637955,-0.05954170227050781,0.20624421536922455,0.6563727855682373
3197,3004382,3004384,-0.00727714691311121,-0.004142720252275467,0.9830561280250549,-4.256139278411865,-6.400302886962891,1.1076973676681519,0.6554672122001648,0.8354582190513611,-0.13949301838874817,0.022154275327920914,0.1007748618721962,0.6543102264404297
3198,3004392,3004394,-0.016988176852464676,-0.01968894898891449,0.9724401831626892,-3.5847885608673096,-4.681282997131348,1.0384407043457031,0.6659666895866394,0.851957380771637,-0.14099295437335968,0.12541654706001282,0.09894412755966187,0.6760004758834839
3199,3004402,3004404,-0.021881259977817535,0.0289870984852314,0.9864146709442139,-1.4848419427871704,-0.6938130259513855,1.008155345916748,0.6734663248062134,0.8384580612182617,-0.11849407106637955,0.17607398331165314,0.05277129262685776,0.6848138570785522
3200,3004412,3004414,0.021123098209500313,0.052513252943754196,1.0013130903244019,1.294816017150879,4.2773237228393555,0.8890423774719238,0.6584670543670654,0.8324583768844604,-0.14249287545681,0.14507697522640228,0.1095985397696495,0.7008606791496277
3201,3004422,3004424,-0.04589970037341118,-0.019856305792927742,0.9495166540145874,3.0868356227874756,7.8815016746521,0.6463156342506409,0.6704664826393127,0.8384580612182617,-0.13649317622184753,0.05243242159485817,0.1294800192117691,0.7061222791671753
3202,3004432,3004434,0.0194473247975111,0.06616374850273132,1.0108574628829956,3.4594614505767822,9.769742965698242,0.7262882590293884,0.66896653175354,0.836958110332489,-0.13799309730529785,-0.08261289447546005,0.09905719757080078,0.7038354277610779
3203,3004442,3004444,-0.39414238929748535,-0.03170968219637871,0.9688205718994141,2.340749740600586,9.021368980407715,0.7619913220405579,0.6749662160873413,0.8339582681655884,-0.1229938492178917,-0.22572946548461914,0.21145159006118774,0.7150667905807495
3204,3004452,3004454,-0.16825614869594574,-0.057704199105501175,1.0367789268493652,2.0942249298095703,5.0814361572265625,1.3762344121932983,0.6794660091400146,0.8384580612182617,-0.13049347698688507,-0.26776012778282166,0.2379559576511383,0.7223590016365051
3205,3004462,3004464,-0.08396869897842407,-0.07212316244840622,1.0578789710998535,-1.3775434494018555,3.7357609272003174,1.5430220365524292,0.6809659600257874,0.8339582681655884,-0.13799309730529785,-0.3187381327152252,0.23509350419044495,0.7338491082191467
3206,3004472,3004474,-0.04365205019712448,-0.03337346389889717,1.0170975923538208,-4.384881973266602,-3.8229570388793945,0.7808946371078491,0.6749662160873413,0.8249587416648865,-0.14099295437335968,-0.26792073249816895,0.19267253577709198,0.7460500597953796
3207,3004482,3004484,0.028944088146090508,0.03349503129720688,0.9888449907302856,-5.424190521240234,-7.96885347366333,0.49847835302352905,0.676466166973114,0.8174591064453125,-0.11549422144889832,-0.2601381242275238,0.11014212667942047,0.7473953366279602
